N,Name,Image,Art,Type 1,Type 2,Class,Ability 1,Ability 2,Ability H,HP,Atk,Def,Spa,Spd,Spe,BST,Pre-Evo,Evolution,Evo Data,Tag,Form Name,Gender Rate,Growth Rate,Exp,EHP,EAtk,EDef,ESpa,ESpd,ESpe,Catch,Happy,Hatch,Egg Group 1,Egg Group 2,Height,Weight,Color,Habitat,Moves,Pokedex,Locale
11,Fanshee,https://i.imgur.com/SD9mflz.png,http://fav.me/dbpb27i,Normal,Psychic,Dreaming,Sleepyhead,,Comatose,40,65,65,50,45,35,300,,Reveram,Happiness,2base,,Female50Percent,Medium,66,1,1,0,0,0,0,235,70,5355,Field,,0.4,9.0,White,Grassland,,"Fanshee lack a lot of the energy that normal Pokemon have, and thus sleep constantly. Pillows made of a Fanshee's wool is able to put even the insomniac to sleep.",
12,Reveram,https://i.imgur.com/EvqjqEo.png,http://fav.me/dbpb27i,Normal,Psychic,Dreaming,Sleepyhead,,Comatose,90,80,60,62,98,65,455,Fanshee,,,2final,,Female50Percent,Medium,169,1,2,0,0,0,0,165,70,5355,Field,,0.8,45.0,White,Grassland,,"A Reveram's cry is able to draw away bad dreams, which it likes to eat. A single Reveram is able to clear away nightmares from a small city.",
13,Sporasol,https://i.imgur.com/gnllHCU.png,https://cdn.discordapp.com/attachments/369546332568027148/649122365011394562/1574833221114.png,Grass,Fairy,Sunlight,Leaf Guard,,Rain Dish,60,30,52,30,60,30,262,,Bumbashoo,Happiness,3base,,Female75Percent,Medium,61,0,0,0,0,1,0,255,70,5355,Grass,Fairy,0.1,2.1,White,Forest,,"Sporasol live on the floors of dense forests, feeding off of the nutrients the dirt provides. Its special skin is used to absorb sunlight efficiently, which prepares it for evolution.",
14,Bumbashoo,https://i.imgur.com/5u8xjJi.png,https://cdn.discordapp.com/attachments/369546332568027148/649122365011394562/1574833221114.png,Grass,Fairy,Sunlight,Leaf Guard,,Rain Dish,72,50,72,60,90,70,414,Sporasol,Umbrelala,Shiny Stone,3mid,,Female75Percent,Medium,130,0,0,0,0,2,0,200,70,5355,Grass,Fairy,0.4,5.8,White,Forest,,"Bumbashoo are able to open and close itself like a parasol, which it does in order to hop or glide from place to place. They like to shelter small Pokemon from bad weather.",
15,Umbrelala,https://i.imgur.com/7uuqrCq.png,http://fav.me/daijki5,Grass,Fairy,Sunlight,Drought,,Drizzle,92,65,90,88,113,60,508,Holimbud,,,3final,,Female75Percent,Medium,248,0,0,0,1,3,0,120,70,5355,Grass,Fairy,0.9,8.6,White,Forest,,"An Umbrelala is a rare sight to be seen, usually found in fair weather or among the high-class. They are known to protect their friends from harm using its shield-like head.",
16,Trumble,,,Rock,,Balance,,,,,,,,,,0,,,,3base,,Female50Percent,,,,,,,,,,,,,,,,,Cave,,"Trumble don't move a lot, in fear that their carefully balanced stones may topple over. A group of Trumble tend to compete to see which can balance the most stones.",
17,Lanstone,,,Rock,,Omen,,,,,,,,,,0,,,,3mid,,Female50Percent,,,,,,,,,,,,,,,,,Cave,,"Lanstone are commonly found in caves where salt is abundant. The ash it carries around on its body are often used for ceremonies in the Orenti region, making it valuable.",
18,Ruggoda,,,Rock,,Omen,Misfortune,,,,,,,,,0,,,,3final,,Female50Percent,,,,,,,,,,,,,,,,,Cave,,"Finding a wild Ruggoda is considered a bad omen, since they are normally protective of the treasures in its cave. Folklore tells that it grows bigger when someone disappears.",
19,Sentrode,https://i.imgur.com/nMFoWgc.png,http://fav.me/dazxre4,Steel,Electric,Machine,Analytic,,Motor Drive,50,45,40,60,55,109,359,,Shokputz,24,3base,,Genderless,Medium,70,0,0,0,0,1,0,230,70,5355,Mineral,,0.3,17.8,Gray,Cave,,"The origins of a Sentrode are mysterious, with many claiming it to be the result of a failed experiment. They like to eat electricity, and can be commonly found at power plants.",
20,Shokputz,https://i.imgur.com/Sa38oPR.png,http://fav.me/dazxre4,Steel,Electric,Machine,Analytic,,Motor Drive,50,60,70,85,65,100,430,Sentrode,Reknology,42,3mid,,Genderless,Medium,163,0,0,0,0,2,0,160,70,5355,Mineral,,1.0,78.8,Gray,Cave,,Shokputz can harness the electricity of nearby devices in order to charge itself. It can shoot out beams of concentrated bolts as a means of attack.,
21,Reknology,https://i.imgur.com/XOeoQge.png,http://fav.me/dazxre4,Steel,Electric,Machine,Analytic,,Motor Drive,50,80,85,105,85,75,480,Shokputz,,,3final,,Genderless,Medum,241,0,0,0,0,3,0,110,70,5355,Mineral,,1.8,136.4,Gray,Cave,,"Known as ""Machines of War"", Reknology is able to fire off electrical lasers that can wipe away whole forests. After heavy attacks, they have to recharge.",
22,Batorch,https://i.imgur.com/FlU2942.png,http://fav.me/db5gvt2,Fire,Flying,Torch,Flash Fire,,,59,50,40,40,40,67,296,,Vampyro,22,2base,,Female50Percent,Medum,63,0,0,0,0,0,1,245,70,5355,Field,Flying,0.3,2.8,Red,Cave,,"Batorch line the walls of caves, where it likes to nap. The bright flames are useful for spelunkers, as long as they don't startle them awake.",
23,Vampyro,https://i.imgur.com/easIETq.png,http://fav.me/db5gvt2,Fire,Flying,Flashing,Flash Fire,,,85,60,75,80,70,100,470,Batorch,,,2final,,Female50Percent,Medum,149,0,0,0,0,0,2,185,70,5355,Field,Flying,1.2,8.7,Red,Cave,,"Vampyro, unlike Batorch, like to sleep on the ceiling. Their flames are so bright that a single Vampyro can light a large room on its own.",
24,Sliggibak,https://i.imgur.com/WDnXhWs.png,http://fav.me/dazp260,Poison,Water,Slimy,Poison Point,,Innards Out,77,30,99,101,133,40,480,,,,1,,Female50Percent,Fast,133,2,0,0,0,0,0,215,70,5355,Water 3,,0.4,12.5,Yellow,Sea,,"Gentle and unsurprising, Sliggibak live very slow lives on the ocean floor, where they feed off of plankton. They make great pets for young children.",
25,Imisnake,https://i.imgur.com/b0lsTXz.png,https://cdn.discordapp.com/attachments/369546332568027148/649114584090804235/1574831306510.png,Grass,Poison,Trap,Strong Jaw,,Arena Trap,50,70,42,43,57,73,335,,Resemboa,30,2base,,Female50Percent,Medium,58,0,0,0,0,0,1,235,70,5355,Field,Grass,0.6,3.5,Green,Forest,,"Imisnake look like flowers when standing straight up. The sweet-smelling dew that sits at the end of each ""petal"" is actually sticky, which traps small prey.",
26,Resemboa,https://i.imgur.com/UhLvKVa.png,https://cdn.discordapp.com/attachments/369546332568027148/649114584090804235/1574831306510.png,Grass,Poison,Trap,Strong Jaw,,Arena Trap,70,95,60,60,90,115,490,Imisnake,,,2final,,Female50Percent,Medium,153,0,0,0,0,0,2,175,70,5355,Field,Grass,2.1,36.4,Green,Forest,,"Resemboa emit a beautiful scent from its nostrils, which attract unknowing prey straight into its giant mouth-like collar. It never lets go once it chomps down.",
27,Minatlas,https://i.imgur.com/gIk8n4C.png,https://cdn.discordapp.com/attachments/369546332568027148/647357616900538368/1574412454950.png,Bug,Steel,Thorn,,,Bulletproof,75,80,70,50,43,25,343,,Thornatlas,33,2base,,Female50Percent,Medium,58,0,0,1,0,0,0,215,70,5355,Bug,,0.9,49.5,Green,Forest,,"Minatlas likes to feed off of vines and moss, where it gets most of its nutrients. Its biggest weakness is being flipped onto its side.",
28,Thornatlas,https://i.imgur.com/ilDJx0U.png,https://cdn.discordapp.com/attachments/369546332568027148/647357616900538368/1574412454950.png,Bug,Steel,Thorn,,,Bulletproof,71,113,110,53,63,94,504,Minatlas,,,2final,,Female50Percent,Medium,163,0,0,2,0,0,0,170,70,5355,Bug,,1.8,104.1,Green,Forest,,"Thornatlas have shells made of a sturdy steel-like material, able to take many blows. Over time these shells fall off, being replaced by even stronger shells.",
24,Squift,https://i.imgur.com/Hc0FuFV.png,https://cdn.discordapp.com/attachments/369546332568027148/649127680888799232/1574834488407.png,Water,Dark,Ink,Technician,,Speed Boost,58,62,59,62,62,71,374,,Seanobi,32,2base,,Female50Percent,Parabolic,67,0,0,0,0,0,1,200,70,5355,Water 1,Water 2,0.5,12.5,Blue,Sea,,"Squift like to play hide and seek in the water, especially with other Pokemon. This helps train them in the art of the ninja.",
25,Seanobi,https://i.imgur.com/SDKyZ8P.png,https://cdn.discordapp.com/attachments/369546332568027148/649127680888799232/1574834488407.png,Water,Dark,Ink,Technician,,Speed Boost,73,92,71,92,74,111,513,Squift,,,2final,,Female50Percent,Parabolic,180,0,0,0,0,0,2,155,70,5355,Water 1,Water 2,1.1,35.8,Blue,Sea,,"Seanobi are a feudal Pokemon, challenging other Seanobi for the right of territory in the ocean. These battles can span many generations, with no side ever letting up.",
26,Ambiggle,https://i.imgur.com/ksvNEC7.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,1,,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"Ambiggle are invisible, parasitic Pokemon that cause all sorts of symptoms to its host. They can only be removed if the host appeases them with gifts.",
F,Ambiggle,https://i.imgur.com/CCHR5EF.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,Fire,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,Form,Fever,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"A form of Ambiggle, which induces fevers. It causes its host to get so hot that their hands can begin boiling water at the lightest touch.",
F,Ambiggle,https://i.imgur.com/tcDtKJD.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,Ice,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,Form,Chill,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"A form of Ambiggle, which induces chills. Its freezing abilities causes its host to freeze the air with every breath, slowly chilling their insides.",
F,Ambiggle,https://i.imgur.com/getmafm.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,Electric,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,Form,Stun,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"A form of Ambiggle, which induces paralysis. Those who succumb to this Ambiggle form begin to slow down, eventually losing the will to move.",
F,Ambiggle,https://i.imgur.com/DcBBycl.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,Poison,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,Form,Nausea,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"A form of Ambiggle, which induces nausea. Just being around it and its host causes everyone in the area to feel lightheaded and queasy.",
F,Ambiggle,https://i.imgur.com/wNfUJnB.png,https://cdn.discordapp.com/attachments/369546332568027148/646616012942213131/1574235652916.png,Bug,Psychic,Parasite,Volatile,,,75,65,85,65,80,105,475,,,,Form,Slumber,Female50Percent,Parabolic,154,1,0,0,0,0,1,200,70,5355,Bug,Amorphous,0.1,0.1,Gray,Urban,,"A form of Ambiggle, which induces comas. Falling ill to this form leaves the host in a permanent sleep, who slowly withers away.",
27,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,60,40,45,40,35,30,250,,Gomokoi-Pawn,Happiness,2base,Pawn,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
F,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,30,60,40,45,40,35,250,,Gomokoi-King,Happiness,Form,King,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
F,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,35,30,60,40,45,40,250,,Gomokoi-Rook,Happiness,Form,Rook,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
F,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,40,35,30,60,40,45,250,,Gomokoi-Queen,Happiness,Form,Queen,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
F,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,45,40,35,30,60,40,250,,Gomokoi-Bishop,Happiness,Form,Bishop,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
F,Koikoi,https://i.imgur.com/BcOBVar.png,http://fav.me/dc2eicg,Water,,Token,Wimp Out,,Emergency Exit,40,45,40,35,30,60,250,,Gomokoi-Knight,Happiness,Form,Knight,Female50Percent,Parabolic,40,0,0,0,0,0,0,210,70,5355,Water 2,,0.2,17.8,Brown,Sea,,"Despite having almost no appendages, Koikoi are able to travel on land by flopping. Each time their flops hit the ground, a dinstinct ""clack"" can be heard.",
28,Gomokoi,https://i.imgur.com/7bsw2ra.png,http://fav.me/dc2eicg,Water,,Armada,Tactical,,Emergency Exit,120,100,90,80,70,60,520,Koikoi-Pawn,,,2final,Pawn,Female50Percent,Parabolic,189,2,0,0,0,0,0,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi can command many Koikoi at once. They are tactical genuises, able to carry out attacks utilizing their Koikoi army with high success.",
F,Gomokoi,https://i.imgur.com/tKJhiM8.png,http://fav.me/dd1dkux,Water,,Armada,Tactical,,Emergency Exit,60,120,100,90,80,70,520,Koikoi-King,,,Form,King,Female50Percent,Parabolic,189,0,2,0,0,0,0,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi's attack-based form, known for their relentless attacks on their target. Two males of this form will attack each other until one can no longer move from exhaustion.",
F,Gomokoi,https://i.imgur.com/sVPSsf3.png,http://fav.me/dd1dkux,Water,,Armada,Tactical,,Emergency Exit,70,60,120,100,90,80,520,Koikoi-Rook,,,Form,Rook,Female50Percent,Parabolic,189,0,0,2,0,0,0,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi's defense-based form, known for their iron-like will. They tend to topple over boats that get within their territory, sometimes even attacking cruise ships.",
F,Gomokoi,https://i.imgur.com/alaLDA8.png,http://fav.me/dd1dkux,Water,,Armada,Tactical,,Emergency Exit,80,70,60,120,100,90,520,Koikoi-Queen,,,Form,Queen,Female50Percent,Parabolic,189,0,0,0,2,0,0,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi's magic-based form, known for their graceful attacks. These are the most popular to own in oriental ponds, due to the gorgeous shimmers their scales produce.",
F,Gomokoi,https://i.imgur.com/tCCIA3i.png,http://fav.me/dd1dkux,Water,,Armada,Tactical,,Emergency Exit,90,80,70,60,120,100,520,Koikoi-Bishop,,,Form,Bishop,Female50Percent,Parabolic,189,0,0,0,0,2,0,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi's wise-based form, known for their calm and collected nature. These hardy forms of Gomokoi can live about anywhere, and don't mind human contact.",
F,Gomokoi,https://i.imgur.com/VrBvtVO.png,http://fav.me/dd1dkux,Water,,Armada,Tactical,,Emergency Exit,100,90,80,70,60,120,520,Koikoi-Knight,,,Form,Knight,Female50Percent,Parabolic,189,0,0,0,0,0,2,170,70,5355,Water 2,,0.8,30.5,Brown,Sea,,"Gomokoi's speed-based form, known for their speedy movements. Fishermen avoid catching this form when necessary, since it will sometimes drag their boat by the fishing line.",
29,Castallop,https://i.imgur.com/hBVinO4.png,http://fav.me/db0ef2r,Water,,Shell,Reverbrate,,Liquid Voice,50,20,84,70,64,40,328,,Cymbarine,38,2base,,Female50Percent,Slow,61,0,0,1,0,0,0,210,70,5355,Mineral,Water 3,0.2,1.2,Red,Sea,,"Castallop live near the surface of the water, where they like to feed off of random ocean debris. Once they grab onto something with their mouths, they never let go.",
30,Cymbarine,https://i.imgur.com/Tviu8qM.png,http://fav.me/db0ef2r,Water,Steel,Shell,Reverbrate,,Liquid Voice,63,50,117,110,100,60,500,Castallop,,,2final,,Female50Percent,Slow,184,0,0,2,0,0,0,170,70,5355,Mineral,Water 3,1.5,146.5,Gray,Sea,,"On the ocean floor, Cymbarine can be seen sleeping most of the day. Anything that gets caught in their mouths can never escape.",
31,Gnawful,https://i.imgur.com/YrnEWhX.png,http://fav.me/dc0nz7l,Water,Ground,Fin Spike,Strong Jaw,,,55,75,65,40,55,60,350,,Crocovile,35,2base,,Female50Percent,Erratic,90,0,2,0,0,0,0,150,70,5355,Monster,Water 1,0.7,21.3,Brown,Sea,,"Gnawful exert so much force when biting down on things, that sometimes they dislocate their own jawbone in the process. Their small limbs make them poor swimmers.",Event
32,Crocovile,https://i.imgur.com/11CYAQE.png,http://fav.me/dc0nz7l,Water,Ground,Fin Spike,Strong Jaw,,,75,121,95,55,75,89,510,Gnawful,,,2final,,Female50Percent,Erratic,180,0,3,0,0,0,0,55,70,5355,Monster,Water 1,2.6,67.1,Brown,Sea,,"The sails of a Crocovile are razor sharp to the touch, which helps it swim fast in the water. Their long, skinny snouts can snap shut in an instant, trapping their prey within.",
33,Slicky,https://i.imgur.com/1lT0nHN.png,http://fav.me/dbqssu9,Poison,,Poison Frog,Poison Touch,,,52,50,57,45,52,52,308,,Goomarsh,24,3base,,Female50Percent,Parabolic,60,1,0,0,0,0,0,215,70,5355,Water 1,,0.2,2.6,Green,WatersEdge,,"Because they have a hard time on moving on land, Slicky like to inflate their bodies and bounce along the ground, using the tongue as a leg.",
34,Goomarsh,https://i.imgur.com/KA88pjh.png,http://fav.me/dbqssu9,Poison,,Poison Frog,Poison Touch,,,65,63,80,58,65,65,396,Slicky,Polymoor,42,3mid,,Female50Percent,Parabolic,135,2,0,0,0,0,0,160,70,5355,Water 1,,0.8,19.5,Green,WatersEdge,,"Goomarsh are able to move their tongues as a third arm, being even better than the small arms they currently have. Their tongues are a record-breaking 10 feet long.",
35,Polymoor,https://i.imgur.com/iw7MQJX.png,http://fav.me/dbqssu9,Poison,,Poison Frog,Poison Touch,,,110,73,90,80,68,70,491,Goomarsh,,,3final,,Female50Percent,Parabolic,225,3,0,0,0,0,0,110,70,5355,Water 1,,1.4,84.9,Green,WatersEdge,,"A Polymoor's rubbery skin is able to secrete a toxic ooze, which it not only uses to keep its skin moisturized, but also as a defense mechanism whenever it's attacked.",
36,Fooldya,https://i.imgur.com/8p6lrnX.png,http://fav.me/dainj4j,Bug,,Mimic,Unnerve,,,40,60,60,40,65,45,310,,Dupedual,30,2base,,Female50Percent,Medium,64,0,0,1,0,1,0,215,70,5355,Bug,,0.1,0.7,Red,Forest,,"Fooldya have an exclusive mimicry of looking just like a Pokeball. Around the same shape and size as Pokeballs, trainers accidentally pick them up only to be startled.",Event
37,Dupedual,https://i.imgur.com/YpeGmtd.png,https://cdn.discordapp.com/attachments/369546332568027148/649098326335160320/1574827484777.png,Bug,,Mimic,Unnerve,,,70,85,95,70,90,50,460,Fooldya,,,2final,,Female50Percent,Medium,165,0,0,2,0,2,0,160,70,5355,Bug,,0.8,16.1,Purple,Forest,,"Dupedual scare away predators by pretending to be a giant Masterball, which wild Pokemon seem to be instinctively scared of. ",Event
38,Brughoul,https://i.imgur.com/KFIP2t7.png,http://fav.me/db5l9mh,Ghost,Normal,Painting,Plagiarist,,Trace,40,25,55,20,55,15,210,,Vanghost,28,3base,,Female50Percent,Fast,59,0,0,1,0,0,0,215,70,5355,Amorphous,,0.1,0.1,White,Urban,,Brughoul leave behind trails of ink wherever they go. Each Brughoul has a unique symbol they like to use to vandalize things with.,
39,Vanghost,https://i.imgur.com/39cVb3i.png,http://fav.me/db5l9mh,Ghost,Normal,Painting,Plagiarist,,Trace,50,35,75,40,75,25,300,Brughoul,Picassoul,41,3mid,,Female50Percent,Fast,159,0,0,2,0,0,0,175,70,5355,Amorphous,,0.4,0.2,White,Urban,,"Vanghost can change the facial patterns to create complex images and scenery. However, their signature eye will always be visible somewhere in the piece.",
40,Picassoul,https://i.imgur.com/a2i6IeY.png,http://fav.me/db5l9mh,Ghost,Normal,Painting,Plagiarist,,Trace,75,45,125,60,125,30,460,Vanghost,,,3final,,Female50Percent,Fast,236,0,0,3,0,0,0,120,70,5355,Amorphous,,0.9,0.3,White,Urban,,"Masters of mimicry, Picassoul are able to create artistic illusions by simply thinking of it. However, they mostly just use this power for the enjoyment, rather than battle.",
41,Jokai,https://i.imgur.com/DlaZZzs.png,http://fav.me/dazt4lt,Ghost,Fire,Festival,Illuminate,,Prankster,65,67,50,92,83,105,462,,,,1,,Female50Percent,Medium,155,0,0,0,2,0,1,195,70,5355,Amorphous,,0.4,0.4,Red,Forest,,"Jokai come out of the woods whenever a festival takes place. Their presence has been included even from ancient times, so many people consider them a traditional guest.",
42,Hanbone,https://i.imgur.com/z0jc7Pv.png,http://fav.me/dazpa2k,Ghost,Rock,Dance,Dancer,,,32,30,71,73,71,42,319,,Skullvis,Spooky Dance,2base,,Female50Percent,Fast,67,0,0,0,1,0,0,200,70,5355,Humanlike,,0.8,21.5,White,Urban,,Hanbone can be summoned when music is played over a cemetary. They communicate to one another by clapping their hands on different parts of their body.,
43,Skullvis,https://i.imgur.com/dAUVOZW.png,http://fav.me/dazpa2k,Ghost,Rock,Disco,Dancer,,,52,46,110,112,110,86,516,Hanbone,,,2final,,Female50Percent,Fast,180,0,0,0,2,0,0,150,70,5355,Humanlike,,1.3,67.2,White,Urban,,"Skullvis only come out during a full moon, using its light as its own personal disco ball. Their dance movements can capture the souls of those that gaze on it too long.",
44,Frounder,https://i.imgur.com/p2w20Uz.png,http://fav.me/dc4hpgg,Water,,Dweller,Illuminate,,Solar Power,90,31,59,31,52,43,306,,Sunfoon,28,3base,,Female50Percent,Medium,59,1,0,0,0,0,0,220,70,5355,Water 2,,0.2,0.3,Blue,Sea,,"Frounder are born deep down in the ocean, where light never touches. Their bodies emit a natural, soft glow, making them easy targets for predators. Most never get to evolve.",
45,Sunfoon,https://i.imgur.com/wkpo6MB.png,http://fav.me/dc4hpgg,Water,,Basking,Sunbathe,,Solar Power,110,55,70,45,60,50,390,Frounder,Solasola,Fire Stone,3mid,,Female50Percent,Medium,154,2,0,0,0,0,0,185,70,5355,Water 2,,1.2,60.5,Blue,Sea,,"Sunfoon live most of their lives near the ocean surface, where they use the sun's heat to keep themselves warm. Their basking sometimes causes boats to capsize when hit.",
